V_li, V_lo, dV_lo, V_0, dV_0,  V_1,  dV_1
0.6,   6.4, 0.5,   1.9,  0.1,  0.15, 0.01
0.7,  10.3, 0.2,   1.6,  0.1,  0.43, 0.01
0.8,  13.4, 0.4,   1.5,  0.05, 0.7,  0.02
0.9,  16.7, 0.1,   1.47, 0.05, 1.04, 0.05
1.0,  18.3, 0.1,   1.55, 0.05, 1.38, 0.05
1.1,  19.4, 0.2,   1.83, 0.05, 1.6,  0.05
1.2,  19.8, 0.3,   1.9,  0.05, 1.83, 0.05
1.3,  20.0, 0.3,   1.86, 0.05, 2.08, 0.03
1.4,  20.4, 0.5,   2.13, 0.05, 2.13, 0.05
1.5,  20.6, 0.5,   2.36, 0.05, 2.3,  0.05
1.6,  20.8, 0.5,   2.35, 0.05, 2.5,  0.05
1.7,  21.4, 0.5,   2.55, 0.05, 2.54, 0.05
1.8,  21.4, 0.5,   2.65, 0.05, 2.8,  0.05
1.9,  21.4, 0.5,   2.75, 0.05, 2.85, 0.05
